,SNIa_Probability,SNII_Probability,SNIbc_Probability,SLSN_Probability,ZTF_ID,host_ra,host_dec,host,TNS_Classification,Alerce_SNIa_Probability,Alerce_SNII_Probability,Alerce_SNIbc_Probability,Alerce_SLSN_Probability,ra,dec
0,0.674333333,0.102,0.166,0.057666667,ZTF21abujefa,262.6759935,41.5490629,Galaxy,SN Ia-91T-like,0.5,0.194,0.168,0.138,262.675971,41.54905313
1,0.212333333,0.304,0.458,0.025666667,ZTF21acbqmnb,311.3053037,20.51619985,Galaxy,No Classification,0.378,0.164,0.386,0.072,311.3046576,20.5177484
2,0.551,0.114666667,0.263,0.071333333,ZTF21abykimo,259.8389856,39.10881385,Galaxy,No Classification,0.308,0.166,0.186,0.34,259.8379072,39.10950309
3,0.486,0.182333333,0.251333333,0.080333333,ZTF21abvrdaz,294.5239414,79.27424033,Galaxy,No Classification,0.324,0.192,0.236,0.248,294.5237673,79.2726182
4,0.475666667,0.155333333,0.210666667,0.158333333,ZTF21abtpqkv,219.4260226,57.44961916,Galaxy,No Classification,0.472,0.146,0.228,0.154,219.4251172,57.4494849
5,0.597333333,0.175666667,0.126666667,0.100333333,ZTF21abfnfdw,214.815028,26.30390191,Galaxy,SN Ia,0.474,0.16,0.284,0.082,214.8149548,26.3003899
6,0.637333333,0.149,0.187333333,0.026333333,ZTF21abvtfxn,315.6983196,-25.8995495,Galaxy,SN Ia,0.428,0.166,0.276,0.13,315.698539,-25.89984955
7,0.362666667,0.315666667,0.318333333,0.003333333,ZTF21abvtkcx,323.0518386,-10.41054024,Galaxy,No Classification,0.33,0.182,0.226,0.262,323.0503366,-10.41088569
8,0.602666667,0.213,0.119,0.065333333,ZTF21abqgbau,288.6295595,-21.31882431,Galaxy,SN Ia,0.446,0.19,0.23,0.134,288.629885,-21.31932967
9,0.684,0.12,0.13,0.066,ZTF21abmspzt,246.562013,56.70151325,Galaxy,SN Ia,0.494,0.182,0.224,0.1,246.5618819,56.70148839
10,0.671,0.129,0.182666667,0.017333333,ZTF21abvuclg,351.0999917,45.4758275,Galaxy,SN Ia,0.508,0.122,0.25,0.12,351.1012615,45.47721056
11,0.632333333,0.118333333,0.149,0.100333333,ZTF21abwprfg,267.0936068,33.69019215,Galaxy,SN Ia,0.68,0.088,0.15,0.082,267.0941649,33.68965431
12,0.357333333,0.295333333,0.345333333,0.002,ZTF21abvbfmj,323.7065961,19.30354304,Galaxy,No Classification,0.358,0.204,0.266,0.172,323.7066472,19.30398962
13,0.397666667,0.376666667,0.216,0.009666667,ZTF21acaxrme,309.5846439,5.43916224,Galaxy,Object Not Found,0.216,0.174,0.312,0.298,309.5842559,5.43855984
14,0.606,0.160666667,0.224666667,0.008666667,ZTF21abyarjp,227.3885497,70.78335679,Galaxy,No Classification,0.302,0.238,0.186,0.274,227.3885342,70.78338105
15,0.365666667,0.287,0.344333333,0.003,ZTF21abvtpoc,356.0201052,25.39339849,Galaxy,No Classification,0.422,0.146,0.284,0.148,356.0203263,25.39330294
16,0.417333333,0.27,0.283,0.029666667,ZTF21abwouwa,233.9594217,37.52344144,Galaxy,No Classification,0.334,0.188,0.186,0.292,233.9600211,37.5227251
17,0.450666667,0.096333333,0.426666667,0.026333333,ZTF21acapxdf,51.92726368,39.4672742,Galaxy,SN Ia,0.43,0.192,0.234,0.144,51.92896064,39.46718813
18,0.263333333,0.094666667,0.628666667,0.013333333,ZTF21abuvury,269.8117544,68.88264302,Galaxy,SN Ibn,0.512,0.114,0.336,0.038,269.8006368,68.88407054
19,0.277333333,0.34,0.343333333,0.039333333,ZTF21abujddb,275.073526,-12.63304136,Galaxy,No Classification,0.436,0.124,0.364,0.076,275.0741654,-12.63097936
20,0.596666667,0.095333333,0.232666667,0.075333333,ZTF21abyazip,281.4516288,31.66517328,Galaxy,SN Ia,0.552,0.07,0.324,0.054,281.4510067,31.66409613
21,0.554333333,0.125333333,0.197666667,0.122666667,ZTF21abxzzys,248.9610681,38.37588121,Galaxy,SN Ia,0.468,0.114,0.302,0.116,248.9611922,38.37613526
22,0.608666667,0.120666667,0.236333333,0.034333333,ZTF21abuwmgy,321.7827061,4.05753565,Galaxy,SN Ia,0.328,0.24,0.222,0.21,321.7824036,4.057607711
23,0.506333333,0.16,0.225666667,0.108,ZTF21abscanv,228.5595768,74.02387908,Galaxy,No Classification,0.366,0.166,0.262,0.206,228.5597015,74.02354586
24,0.359333333,0.159,0.128,0.353666667,ZTF21aboukxu,N/A,N/A,No Host,No Classification,0.234,0.214,0.192,0.36,283.9337533,64.55331668
25,0.468,0.210666667,0.196666667,0.124666667,ZTF21acbgzzv,292.4076286,50.81187727,Galaxy,No Classification,0.202,0.264,0.268,0.266,292.4070509,50.81204054
26,0.693333333,0.096666667,0.167,0.043,ZTF21abrhujh,N/A,N/A,No Host,No Classification,0.484,0.142,0.23,0.144,298.581273,61.23637733
27,0.205,0.218,0.559,0.018,ZTF21abmpnui,315.5520241,-20.64195267,Galaxy,SN Ia,0.216,0.252,0.428,0.104,315.5516758,-20.64280059
28,0.716,0.096333333,0.167333333,0.020333333,ZTF21abrotmc,322.3869317,8.07924118,Galaxy,SN Ia,0.5,0.138,0.312,0.05,322.3870264,8.079124808
29,0.358,0.291,0.348,0.003,ZTF21abvjmqr,339.4428658,12.8163721,Galaxy,No Classification,0.258,0.196,0.15,0.396,339.4440006,12.81674858
30,0.588666667,0.106333333,0.198666667,0.106333333,ZTF21abxtthp,2.26568028,33.11013223,Galaxy,No Classification,0.378,0.156,0.282,0.184,2.266625923,33.11011994
31,0.613,0.106333333,0.263333333,0.017333333,ZTF21abqnusz,344.2875323,24.7637293,Galaxy,No Classification,0.3,0.118,0.426,0.156,344.2878825,24.76267601
32,0.367666667,0.123666667,0.076,0.432666667,ZTF21abplgag,334.5880647,6.12147098,Galaxy,SN Ia,0.462,0.158,0.246,0.134,334.5878887,6.122500319
33,0.546,0.138666667,0.283333333,0.032,ZTF21acasbcr,263.08291,7.94099056,Galaxy,No Classification,0.346,0.142,0.284,0.228,263.0829793,7.9406126
