,Training_set,ZTF_ID,TNS_class,my_class,my_SN_Ia,my_SN_II,my_SN_Ibc,my_SLSN,ALeRCE_class,ALeRCE_SN_Ia,ALeRCE_SN_II,ALeRCE_SN_Ibc,ALeRCE_SLSN,Redshift
0,False,ZTF21aaxstpn,No Classification,SN Ia,0.385,0.173,0.342,0.1,SNIa,0.386,0.18,0.322,0.112,No Redshift
1,False,ZTF21aaadhjn,No Classification,SN Ia,0.347,0.201,0.243,0.209,SNIa,0.42,0.174,0.262,0.144,No Redshift
2,False,ZTF21aagtquu,No Classification,SN Ib/c,0.312,0.187,0.465,0.036,SNIa,0.394,0.2,0.31,0.096,No Redshift
3,False,ZTF21aaxvxbu,No Classification,SN Ib/c,0.225,0.285,0.436,0.054,SNIbc,0.242,0.214,0.432,0.112,No Redshift
4,False,ZTF21aaypsco,No Classification,SN Ia,0.468,0.172,0.237,0.123,SNIa,0.346,0.23,0.254,0.17,0.139306
5,False,ZTF21aaxstrx,No Classification,SN Ib/c,0.316,0.194,0.379,0.111,SNIbc,0.342,0.176,0.398,0.084,No Redshift
6,False,ZTF21aakvrwp,No Classification,SN Ia,0.367,0.168,0.348,0.117,SNIa,0.392,0.166,0.33,0.112,No Redshift
7,False,ZTF21aagsjsj,No Classification,SN Ia,0.349,0.216,0.335,0.1,SNIa,0.396,0.164,0.338,0.102,No Redshift
8,False,ZTF21aahhkyb,No Classification,SN Ib/c,0.323,0.175,0.338,0.164,SNIa,0.368,0.202,0.266,0.164,No Redshift
9,False,ZTF21aavcylw,No Classification,SN Ia,0.374,0.269,0.204,0.153,SNIa,0.344,0.242,0.254,0.16,2.245
10,False,ZTF21aaqldsj,SN II,SN II,0.081,0.537,0.201,0.181,SNII,0.236,0.308,0.218,0.238,0.0316
11,False,ZTF21abaphri,SN Ia,SN Ia,0.47,0.143,0.304,0.083,SNIa,0.424,0.148,0.29,0.138,0.06
12,False,ZTF21aaeubnz,Object Not Found,SN Ib/c,0.217,0.35,0.377,0.056,SNIbc,0.256,0.218,0.422,0.104,No Redshift
13,False,ZTF21aapfewo,No Classification,SN Ia,0.532,0.14,0.156,0.172,SNIa,0.352,0.152,0.346,0.15,No Redshift
14,False,ZTF21aazkqnz,Object Not Found,SN Ia,0.407,0.165,0.282,0.146,SNIa,0.37,0.202,0.274,0.154,No Redshift
15,False,ZTF21aaridax,No Classification,SN Ia,0.391,0.178,0.315,0.116,SNIa,0.388,0.21,0.252,0.15,0.08569218
16,False,ZTF21aaehrnw,No Classification,SLSN,0.118,0.376,0.117,0.389,SNIbc,0.28,0.22,0.292,0.208,No Redshift
17,False,ZTF19aaeejsb,Object Not Found,SN II,0.178,0.384,0.22,0.218,SNIbc,0.23,0.284,0.33,0.156,No Redshift
18,False,ZTF21aaqieep,No Classification,SN Ib/c,0.316,0.197,0.339,0.148,SNIa,0.376,0.218,0.294,0.112,No Redshift
19,False,ZTF21aarhfzg,Object Not Found,SN Ia,0.396,0.204,0.28,0.12,SNIa,0.28,0.246,0.28,0.194,0.134855
20,False,ZTF21aapqbyz,No Classification,SN II,0.177,0.529,0.128,0.166,SNII,0.232,0.346,0.2,0.222,No Redshift
21,False,ZTF19aamwvns,Object Not Found,SN Ib/c,0.17,0.28,0.388,0.162,SNIbc,0.272,0.212,0.338,0.178,No Redshift
22,False,ZTF21aaabwfu,SN IIb,SN Ib/c,0.128,0.349,0.412,0.111,SNIbc,0.316,0.216,0.364,0.104,0.010929
23,False,ZTF20aajdnlk,Object Not Found,SN II,0.1,0.39,0.323,0.187,SNII,0.156,0.324,0.278,0.242,No Redshift
24,False,ZTF21aaiucta,No Classification,SN Ia,0.327,0.214,0.325,0.134,SNIbc,0.316,0.202,0.324,0.158,No Redshift
25,False,ZTF21aagofnm,Object Not Found,SN Ib/c,0.245,0.199,0.482,0.074,SNIa,0.372,0.19,0.308,0.13,No Redshift
26,False,ZTF21aavdtwe,No Classification,SN Ia,0.335,0.255,0.25,0.16,SNIa,0.34,0.236,0.268,0.156,No Redshift
27,False,ZTF21aahskfm,No Classification,SN Ib/c,0.182,0.231,0.498,0.089,SNIbc,0.312,0.174,0.42,0.094,No Redshift
28,False,ZTF20aczgmai,SN IIn,SLSN,0.008,0.199,0.032,0.761,SLSN,0.134,0.266,0.188,0.412,0.042843
29,False,ZTF21aavdtdp,No Classification,SN Ia,0.521,0.153,0.2,0.126,SNIa,0.376,0.166,0.324,0.134,No Redshift
30,False,ZTF21aaoetqh,No Classification,SN Ia,0.54,0.152,0.217,0.091,SNIa,0.444,0.138,0.314,0.104,No Redshift
31,False,ZTF21aawogdl,SN Ib,SN Ib/c,0.295,0.16,0.47,0.075,SNIa,0.374,0.184,0.358,0.084,0.031275
32,False,ZTF21aagmrvg,No Classification,SN Ia,0.427,0.233,0.221,0.119,SNIa,0.336,0.226,0.23,0.208,No Redshift
33,False,ZTF21aadrrbf,Object Not Found,SN Ia,0.451,0.141,0.279,0.129,SNIa,0.36,0.182,0.288,0.17,No Redshift
34,False,ZTF21aapkiaw,No Classification,SN Ia,0.596,0.126,0.2,0.078,SNIa,0.454,0.156,0.284,0.106,No Redshift
35,False,ZTF21aagogrx,No Classification,SN Ia,0.45,0.187,0.291,0.072,SNIa,0.428,0.188,0.294,0.09,0.117305
36,False,ZTF21aapjzfm,No Classification,SN Ia,0.705,0.119,0.132,0.044,SNIa,0.462,0.156,0.262,0.12,No Redshift
37,False,ZTF21aapkisz,No Classification,SN Ia,0.457,0.219,0.25,0.074,SNIa,0.36,0.186,0.328,0.126,No Redshift
38,False,ZTF21aayprqz,No Classification,SN Ia,0.392,0.173,0.268,0.167,SNIa,0.312,0.208,0.22,0.26,0.112012
39,False,ZTF21aanortq,SN Ia-pec,SN Ia,0.719,0.069,0.164,0.048,SNIa,0.43,0.194,0.276,0.1,0.04
40,False,ZTF21aagsmzb,No Classification,SN Ia,0.362,0.179,0.352,0.107,SNIa,0.408,0.17,0.314,0.108,No Redshift
41,False,ZTF18acmvkoq,Object Not Found,SN II,0.13,0.366,0.266,0.238,SNIbc,0.22,0.252,0.312,0.216,No Redshift
42,False,ZTF21aaopupn,Object Not Found,SN Ia,0.399,0.221,0.271,0.109,SNIa,0.406,0.196,0.31,0.088,0.120666
43,False,ZTF21aajsxcy,No Classification,SN Ib/c,0.304,0.209,0.343,0.144,SNIa,0.414,0.168,0.296,0.122,No Redshift
44,False,ZTF21aapkdba,No Classification,SN II,0.258,0.333,0.291,0.118,SNIbc,0.256,0.27,0.318,0.156,No Redshift
45,False,ZTF21aaguiqz,Object Not Found,SN Ib/c,0.364,0.16,0.392,0.084,SNIa,0.43,0.172,0.334,0.064,No Redshift
46,False,ZTF21aapqtgc,Object Not Found,SN II,0.258,0.397,0.24,0.105,SNIa,0.316,0.254,0.312,0.118,No Redshift
47,False,ZTF21aagmqux,No Classification,SN Ib/c,0.289,0.199,0.368,0.144,SNIbc,0.322,0.186,0.362,0.13,No Redshift
48,False,ZTF20abxwkpx,Object Not Found,SN II,0.1,0.477,0.182,0.241,SNIbc,0.24,0.262,0.286,0.212,No Redshift
49,False,ZTF21aanrxap,Object Not Found,SN Ib/c,0.298,0.195,0.431,0.076,SNIa,0.38,0.19,0.328,0.102,No Redshift
50,False,ZTF21aarounv,No Classification,SN Ia,0.387,0.195,0.311,0.107,SNIa,0.352,0.216,0.276,0.156,No Redshift
51,False,ZTF21aawglcd,No Classification,SN Ib/c,0.272,0.22,0.412,0.096,SNIbc,0.328,0.206,0.368,0.098,No Redshift
52,False,ZTF20aaznpdz,Object Not Found,SLSN,0.182,0.303,0.162,0.353,SLSN,0.134,0.29,0.232,0.344,0.041085
53,False,ZTF21aareryw,No Classification,SN Ia,0.39,0.228,0.281,0.101,SNIa,0.41,0.19,0.284,0.116,0.150554
54,False,ZTF20acyxzzf,No Classification,SN Ia,0.518,0.119,0.189,0.174,SNIa,0.354,0.202,0.268,0.176,No Redshift
55,False,ZTF21aaglryo,Object Not Found,SN Ia,0.341,0.224,0.327,0.108,SNIa,0.354,0.19,0.34,0.116,No Redshift
56,False,ZTF21aagmrym,No Classification,SN Ia,0.347,0.287,0.265,0.101,SNIa,0.344,0.206,0.28,0.17,No Redshift
57,False,ZTF21aagtdwx,Object Not Found,SN Ia,0.346,0.235,0.285,0.134,SNIa,0.358,0.182,0.33,0.13,No Redshift
58,False,ZTF21aacpasn,SN Ia,SN Ib/c,0.333,0.193,0.348,0.126,SNIbc,0.266,0.202,0.344,0.188,0.05
59,False,ZTF21aarnxig,Object Not Found,SLSN,0.27,0.202,0.246,0.282,SNIa,0.31,0.242,0.262,0.186,No Redshift
60,False,ZTF21aalswkm,No Classification,SN Ia,0.4,0.18,0.224,0.196,SNIa,0.34,0.222,0.268,0.17,No Redshift
61,False,ZTF21aarbczp,No Classification,SN Ib/c,0.223,0.22,0.483,0.074,SNIbc,0.296,0.194,0.348,0.162,No Redshift
62,False,ZTF21aavqior,Object Not Found,SN Ib/c,0.302,0.193,0.449,0.056,SNIbc,0.342,0.228,0.37,0.06,No Redshift
63,False,ZTF21aaphjei,No Classification,SN II,0.284,0.295,0.28,0.141,SNIa,0.32,0.244,0.27,0.166,No Redshift
64,False,ZTF21aagyxgr,SN Ia,SN II,0.132,0.359,0.209,0.3,SNII,0.23,0.278,0.236,0.256,0.0169
65,False,ZTF21aataajv,No Classification,SN Ia,0.286,0.246,0.28,0.188,SNIa,0.388,0.19,0.248,0.174,No Redshift
66,False,ZTF19abnooxt,Object Not Found,SN Ib/c,0.19,0.277,0.335,0.198,SNIbc,0.306,0.19,0.348,0.156,No Redshift
67,False,ZTF21aagywhf,Object Not Found,SN Ia,0.416,0.263,0.276,0.045,SNIa,0.402,0.172,0.344,0.082,0.096249
68,False,ZTF21aaphjef,No Classification,SN Ia,0.534,0.199,0.197,0.07,SNIa,0.326,0.216,0.314,0.144,No Redshift
69,False,ZTF21aaoqayg,No Classification,SN Ia,0.629,0.136,0.201,0.034,SNIa,0.362,0.2,0.342,0.096,0.10473
70,False,ZTF21aayqycm,SN Ia,SN Ia,0.389,0.224,0.252,0.135,SNIa,0.352,0.226,0.282,0.14,0.09
71,False,ZTF20achupkw,SLSN-II,SLSN,0.096,0.194,0.091,0.619,SLSN,0.134,0.304,0.146,0.416,0.3836
72,False,ZTF21aaeundb,No Classification,SN Ia,0.365,0.175,0.246,0.214,SNIbc,0.276,0.196,0.318,0.21,0.032649
73,False,ZTF21aariepz,No Classification,SN Ia,0.384,0.186,0.301,0.129,SNIa,0.342,0.196,0.26,0.202,No Redshift
74,False,ZTF21aaqyemz,No Classification,SN Ia,0.412,0.251,0.218,0.119,SNIa,0.314,0.27,0.192,0.224,0.093102
